month,revenue,expenses,profits,cashflow,capital_need
1,25000,20000,5000,0.1,500
2,26000,21000,5000,0.1,500
3,27000,21500,5500,0.2,0
4,28000,22000,6000,0.21,0
5,29000,22500,6500,0.22,0
6,30000,23000,7000,0.23,0
7,32000,24000,8000,0.25,0
8,34000,25000,9000,0.26,0
9,35000,26000,9000,0.25,0
10,34000,27000,7000,0.21,0
11,36000,28000,8000,0.22,0
12,38000,30000,8000,0.21,0
13,39000,31000,8000,0.22,0
14,41000,32000,9000,0.23,0
15,43000,33000,10000,0.25,0
16,45000,34000,11000,0.26,0
17,47000,35500,11500,0.27,0
18,49000,37000,12000,0.28,0
19,51000,38500,12500,0.28,0
20,53000,40000,13000,0.29,0
21,55000,41500,13500,0.3,0
22,57000,43000,14000,0.31,0
23,60000,45000,15000,0.32,0
24,62000,47000,15000,0.32,0
25,64000,48000,16000,0.33,0
26,66000,49000,17000,0.33,0
27,68000,50000,18000,0.34,0
28,70000,52000,18000,0.35,0
29,72000,54000,18000,0.36,0
30,75000,56000,19000,0.36,0
31,77000,58000,19000,0.37,0
32,80000,60000,20000,0.37,0
33,82000,62000,20000,0.38,0
34,84000,64000,20000,0.38,0
35,86000,66000,20000,0.38,0
36,88000,68000,20000,0.39,0
37,90000,70000,20000,0.39,0
38,92000,72000,20000,0.4,0
39,95000,74000,21000,0.4,0
40,97000,76000,21000,0.41,0
41,99000,78000,21000,0.41,0
42,102000,80000,22000,0.42,0
43,104000,82000,22000,0.42,0
44,107000,84000,23000,0.43,0
45,109000,86000,23000,0.43,0
46,112000,88000,24000,0.44,0
47,115000,90000,25000,0.44,0
48,118000,92000,26000,0.45,0
49,121000,94000,27000,0.45,0
50,124000,96000,28000,0.46,0
51,127000,98000,29000,0.46,0
52,130000,100000,30000,0.47,0
53,133000,102000,31000,0.47,0
54,136000,104000,32000,0.48,0
55,140000,106000,34000,0.48,0
56,143000,108000,35000,0.49,0
57,146000,110000,36000,0.49,0
58,150000,112000,38000,0.5,0
59,153000,114000,39000,0.5,0
60,157000,116000,41000,0.51,0